id,name,linkedin_url,website,industry,employee_count,country,city,founded_year,company_age,gtm_score,gtm_band,demand_score,conversion_score,delivery_score,DEM-ICP-01,DEM-FIT-02,DEM-MSG-03,DEM-CHN-04,DEM-ATT-05,DEM-CNT-06,CON-SLA-01,CON-QLF-02,CON-STG-03,CON-OBJ-04,CON-WNL-05,CON-PGE-06,DEL-TTV-01,DEL-ONB-02,DEL-HLT-03,DEL-RET-04,DEL-QBR-05,DEL-ADV-06,follower_count,followers_per_employee,speciality_count,description_length,is_verified,has_tagline,has_website,page_verified
96421796,SyncIQ.ai,https://www.linkedin.com/company/synciq-ai/,https://www.synciq.ai,Software Development,10.0,US,San Francisco,2024.0,2.0,29.9,Foundations,36.2,26.9,23.5,1,1,3,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,4618,461.8,8,1421,0,1,1,False
1000215,"Planet Cents, Inc.",https://www.linkedin.com/company/planet-cents/,http://www.PlanetCents.us,Environmental Services,5.0,US,Clearlake,2021.0,5.0,41.6,Process & Response,53.9,36.6,27.1,4,2,4,2,2,2,1,2,2,1,3,2,1,1,2,2,1,1,4028,805.6,5,1731,0,1,1,False
42468326,Elevate Demand,https://www.linkedin.com/company/elevate-demand/,https://www.elevatedemand.com/start-here/,Advertising Services,5.0,US,Dallas,2020.0,6.0,38.4,Foundations,46.5,39.4,20.0,2,2,3,3,2,2,1,2,2,1,2,4,1,1,1,1,1,1,4503,900.6,11,1318,0,1,1,False
9426479,ComplianceHR,https://www.linkedin.com/company/compliancehr/,http://www.compliancehr.com,"Technology, Information and Internet",16.0,US,New York City,2015.0,11.0,30.5,Foundations,32.6,30.2,26.7,1,1,2,3,1,2,1,2,2,1,2,1,1,3,1,1,1,1,4353,272.1,15,739,0,1,1,False
14069581,ABR Talent l Customer Success Recruitment for Start-up & Scale-up SaaS businesses,https://www.linkedin.com/company/abr-talent/,http://www.abrtalent.co.uk,Staffing and Recruiting,11.0,GB,Whiteley,,,29.3,Foundations,36.5,23.4,26.8,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,36312,3301.1,6,400,0,1,1,False
3834403,Grammatik Agency - B2B marketing and communications,https://www.linkedin.com/company/grammatik-agency/,http://www.grammatikagency.com,Advertising Services,6.0,GB,London,2014.0,12.0,33.9,Foundations,42.8,30.2,23.6,2,2,3,2,1,3,1,2,2,1,2,1,1,1,1,2,1,1,10489,1748.2,9,1349,0,1,1,False
92558570,Grovio AI,https://www.linkedin.com/company/grovioai/,https://www.grovio.ai/,"Technology, Information and Internet",11.0,US,San Francisco,2025.0,1.0,25.1,Foundations,29.4,23.4,20.0,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,4472,406.5,8,145,0,1,1,False
71287238,Bento Engine,https://www.linkedin.com/company/bentoengine/,https://www.bentoengine.com/,Software Development,10.0,US,Westport,2021.0,5.0,31.9,Foundations,39.4,30.2,20.0,1,1,3,3,2,2,1,2,2,1,2,1,1,1,1,1,1,1,4400,440.0,18,794,0,1,1,False
19175456,SecurityAdvisor (Acquired by Knowbe4),https://www.linkedin.com/company/securityadvisor/,https://www.securityadvisor.io/,Computer and Network Security,2.0,US,Clearwater,2018.0,8.0,35.4,Foundations,40.0,36.9,23.3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,4201,2100.5,12,414,0,1,1,False
67699144,PayNation®,https://www.linkedin.com/company/paynationus/,http://www.paynation.us,Financial Services,8.0,US,Irvine,2018.0,8.0,28.0,Foundations,33.0,26.9,20.0,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2578,322.2,11,1024,0,1,1,False
102327858,Startupr,https://www.linkedin.com/company/startuprxyz/,startupr.xyz,"Technology, Information and Internet",11.0,US,Orange,2024.0,2.0,43.1,Process & Response,53.2,39.5,30.0,2,3,3,4,2,2,1,1,4,2,2,2,1,1,2,2,1,2,4162,378.4,15,946,0,1,1,False
35622442,LaborIQ,https://www.linkedin.com/company/laboriq/,https://LaborIQ.co/,Software Development,19.0,US,Dallas,2018.0,8.0,32.8,Foundations,32.6,37.6,23.6,1,1,2,3,1,2,3,2,2,1,2,1,1,1,1,2,1,1,4104,216.0,25,503,0,1,1,False
3190725,Enlimited - The B2B Growth Marketing Agency,https://www.linkedin.com/company/enlimited/,https://enlimited.io/,Marketing Services,10.0,US,Houston,2013.0,13.0,49.0,Process & Response,66.8,45.8,20.0,4,2,5,5,2,2,1,2,4,2,1,4,1,1,1,1,1,1,1969,196.9,15,1471,0,1,1,False
27120701,Scenic West Design,https://www.linkedin.com/company/scenic-west/,http://www.scenicwest.co,IT Services and IT Consulting,3.0,US,Nashville,2016.0,10.0,37.0,Foundations,43.3,36.0,26.2,3,2,2,3,1,2,1,2,2,1,1,4,1,2,1,1,1,2,3807,1269.0,22,589,0,1,1,False
2289939,Revel Partners,https://www.linkedin.com/company/revel-partners/,http://www.revel.vc,Venture Capital and Private Equity Principals,8.0,US,New York City,2011.0,15.0,30.0,Foundations,36.7,26.9,22.9,3,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,3974,496.8,7,509,0,1,1,False
74923702,Pod,https://www.linkedin.com/company/pod-workspace/,https://www.workwithpod.com,Software Development,20.0,US,San Francisco,2022.0,4.0,27.8,Foundations,29.4,26.9,26.5,1,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,2,1,4052,202.6,10,517,0,1,1,False
69496014,UpdateAI,https://www.linkedin.com/company/update-ai/,http://www.update.ai,"Technology, Information and Internet",8.0,US,Los Angeles,2020.0,6.0,27.9,Foundations,29.4,26.9,26.8,1,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,3873,484.1,11,126,0,1,1,False
64736490,Kindred | Marketing Recruitment Specialists,https://www.linkedin.com/company/kindred-marketing-recruitment-specialist-london/,http://www.Kindredrecruitment.com,Staffing and Recruiting,1.0,GB,London,2019.0,7.0,38.3,Foundations,52.2,33.6,20.0,2,2,2,4,2,4,1,2,2,1,3,1,1,1,1,1,1,1,27846,27846.0,23,1103,0,1,1,False
106761384,Retail Sparks,https://www.linkedin.com/company/retailsparks/,www.retailsparks.com,Marketing Services,4.0,US,Miami,2000.0,26.0,38.7,Foundations,53.2,30.2,26.5,2,2,3,4,3,2,1,2,2,1,2,1,1,1,2,1,2,1,4273,1068.2,20,788,1,1,1,True
1318046,"Reuben Sinclair | Sales, Marketing, PR, Data and Digital Recruitment",https://www.linkedin.com/company/reuben-sinclair/,https://www.reuben-sinclair.com,Staffing and Recruiting,17.0,GB,London,2007.0,19.0,44.4,Process & Response,62.9,33.3,29.5,2,4,4,4,2,3,1,2,2,1,2,2,2,1,1,1,2,2,57372,3374.8,19,1656,1,1,1,True
3778411,Truss,https://www.linkedin.com/company/trusspayments/,http://trusspayments.com,Financial Services,16.0,US,San Francisco,2021.0,5.0,32.2,Foundations,36.2,34.2,20.0,2,1,2,3,1,2,3,2,2,1,1,1,1,1,1,1,1,1,3194,199.6,15,312,0,1,1,False
68580027,Along AI,https://www.linkedin.com/company/alongai/,https://www.alongagents.ai/context,Software Development,15.0,US,New York City,2026.0,0.0,25.9,Foundations,32.9,20.0,23.5,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,3629,241.9,12,191,1,1,1,True
100003577,inbybob_,https://www.linkedin.com/company/inbybob/,https://www.inbybob.com/,IT Services and IT Consulting,2.0,US,Sunnyvale,2023.0,3.0,33.3,Foundations,42.8,30.5,20.0,2,2,3,2,1,3,2,2,1,1,2,1,1,1,1,1,1,1,5045,2522.5,9,1793,0,1,1,False
89833013,Keyplay,https://www.linkedin.com/company/keyplay-io/,https://keyplay.io/,Software Development,6.0,US,Seattle,,,35.3,Foundations,43.3,33.3,23.5,2,2,3,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,6009,1001.5,6,602,0,1,1,False
38774411,PARTNERNOMICS®,https://www.linkedin.com/company/partnernomics/,https://partnernomics.com/,Software Development,5.0,US,Kansas City,2014.0,12.0,29.8,Foundations,32.8,26.9,29.7,1,1,3,2,1,2,1,2,2,1,1,1,1,3,1,1,2,1,3761,752.2,10,1056,0,1,1,False
27245221,Fintract Global,https://www.linkedin.com/company/fintract-global/,https://fintractglobal.com,Financial Services,6.0,GB,London,2021.0,5.0,38.2,Foundations,43.0,40.6,23.5,2,2,3,3,1,2,2,2,2,1,4,1,1,1,2,1,1,1,40981,6830.2,24,1891,0,1,1,False
10357203,SaaStock,https://www.linkedin.com/company/saastock/,https://www.saastock.com/,Events Services,20.0,GB,London,2016.0,10.0,31.4,Foundations,36.5,30.2,23.6,2,2,2,2,1,2,1,2,2,1,2,1,1,1,1,2,1,1,27594,1379.7,12,420,0,1,1,False
42415603,Cybernef Technologies,https://www.linkedin.com/company/cybernef-technologies/,https://cybernef.com/,Software Development,12.0,US,Laguna,2015.0,11.0,39.2,Foundations,49.6,36.6,23.5,2,1,4,4,2,2,1,2,3,1,2,2,1,1,2,1,1,1,3795,316.2,20,1826,0,1,1,False
3613537,JeffersonLocke,https://www.linkedin.com/company/jeffersonlocke/,http://jeffersonlocke.com,Business Consulting and Services,20.0,GB,London,2010.0,16.0,37.8,Foundations,46.5,33.3,29.4,2,2,3,3,2,2,1,2,2,2,2,1,1,1,2,1,2,2,22770,1138.5,20,1323,1,1,1,True
87221693,SuiteOp,https://www.linkedin.com/company/suite-op/,https://suiteop.com/,"Technology, Information and Internet",13.0,US,New York City,2023.0,3.0,31.5,Foundations,32.9,34.2,23.3,1,1,2,2,2,2,3,2,1,1,2,1,1,2,1,1,1,1,3620,278.5,7,1029,1,1,1,True
93152236,Terminal X,https://www.linkedin.com/company/terminalx-ai/,https://www.terminal-x.ai,Financial Services,12.0,US,New York City,2023.0,3.0,34.8,Foundations,39.6,34.2,26.4,2,1,3,3,1,2,3,2,2,1,1,1,1,1,2,1,1,2,2976,248.0,22,1125,0,1,1,False
81476590,CallBlitz,https://www.linkedin.com/company/callblitz/,https://callblitz.com/,Software Development,12.0,US,Remote,2022.0,4.0,37.8,Foundations,48.8,33.9,23.3,1,1,4,4,2,3,3,2,1,2,1,1,1,2,1,1,1,1,3151,262.6,19,1500,1,1,1,True
67158012,The Juice (acquired by TechnologyAdvice),https://www.linkedin.com/company/the-juice-hq/,https://solutions.technologyadvice.com/press/technologyadvice-acquires-the-juice/,Software Development,7.0,US,Indianapolis,2020.0,6.0,28.0,Foundations,33.0,26.9,20.0,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,3778,539.7,5,237,0,1,1,False
